Interval=	0,001 s
ExcelDateTime=	4,6092614496418428e+004	11.03.2026 14:44:52,490552
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 3	Channel 4
Range=	5,000 mV	5,000 mV
0,309	-0,1276953	-0,04990674
0,31	-0,1123438	-0,05263686
0,311	-0,1029688	-0,05646445
0,312	-0,1115625	-0,06130075
0,313	-0,1217969	-0,06698373
0,314	-0,1292187	-0,07329624
0,315	-0,1207422	-0,08007479
0,316	-0,09476563	-0,08683452
0,317	-0,07917969	-0,09349697
0,318	-0,07984375	-0,09989598
0,319	-0,07835937	-0,1058651
0,32	-0,09347656	-0,1112368
0,321	-0,1257422	-0,1158478
0,322	-0,1214844	-0,1195629
0,323	-0,0871875	-0,122239
0,324	-0,08878906	-0,12385
0,325	-0,1273047	-0,1243898
0,326	-0,1494531	-0,1238816
0,327	-0,1167188	-0,122372
0,328	-0,05972656	-0,1199303
0,329	-0,04324219	-0,1166471
0,33	-0,05785156	-0,1126538
0,331	-0,08007813	-0,1081028
0,332	-0,1095313	-0,1031508
0,333	-0,1335547	-0,09795349
0,334	-0,1365625	-0,09266326
0,335	-0,1034375	-0,08742842
0,336	-0,06996094	-0,08239487
0,337	-0,0646875	-0,07769545
0,338	-0,05085937	-0,07346096
0,339	-0,03285156	-0,06978924
0,34	-0,04089844	-0,06674876
0,341	-0,05332031	-0,06438037
0,342	-0,06324219	-0,0626997
0,343	-0,08820313	-0,06169281
0,344	-0,1146484	-0,06135076
0,345	-0,1250781	-0,06162416
0,346	-0,1196875	-0,06244987
0,347	-0,1086328	-0,06374785
0,348	-0,1099609	-0,06542294
0,349	-0,115625	-0,06736672
0,35	-0,08625	-0,06943613
0,351	-0,04632812	-0,07158339
0,352	-0,0434375	-0,07366997
0,353	-0,04230469	-0,07559405
0,354	-0,04742188	-0,07726614
0,355	-0,08699219	-0,07860757
0,356	-0,1049609	-0,07954942
0,357	-0,07714844	-0,07999953
0,358	-0,04832031	-0,0800165
0,359	-0,04691406	-0,07954372
0,36	-0,04113281	-0,07857896
0,361	-0,01671875	-0,07713796
0,362	-0,01976563	-0,07525105
0,363	-0,04441406	-0,07296048
0,364	-0,05019531	-0,07028985
0,365	-0,046875	-0,06738947
0,366	-0,06636719	-0,06430129
0,367	-0,09714844	-0,06109722
0,368	-0,09101563	-0,05784824
0,369	-0,06621094	-0,05462261
0,37	-0,07246094	-0,05148435
0,371	-0,09210938	-0,04846968
0,372	-0,09714844	-0,04569897
0,373	-0,07554687	-0,04319488
0,374	-0,02050781	-0,0409882
0,375	0,01515625	-0,03909608
0,376	-0,02558594	-0,03752234
0,377	-0,09742188	-0,03625785
0,378	-0,1167578	-0,03525698
0,379	-0,07625	-0,03456218
0,38	-0,0315625	-0,03411253
0,381	-0,005976563	-0,03386499
0,382	0,01175781	-0,03377151
0,383	0,01199219	-0,03377925
0,384	-0,01226563	-0,03383093
0,385	-0,04097656	-0,03383465
0,386	-0,03289063	-0,0338264
0,387	-0,000234375	-0,03372186
0,388	-0,01699219	-0,03347716
0,389	-0,06242188	-0,03305698
0,39	-0,05191406	-0,03243301
0,391	-0,004648437	-0,03158285
0,392	0,01085938	-0,03045393
0,393	-0,01175781	-0,02914697
0,394	-0,03167969	-0,02762771
0,395	-0,009296875	-0,02590767
0,396	-0,002265625	-0,02400608
0,397	-0,07058594	-0,02194741
0,398	-0,1161719	-0,01975924
0,399	-0,08066406	-0,01743464
0,4	-0,02039062	-0,01511598
0,401	0,02511719	-0,01280183
0,402	0,03640625	-0,01052532
0,403	0,03015625	-0,008316246
0,404	0,03011719	-0,006199076
0,405	0,01304687	-0,004191316
0,406	-0,02226563	-0,002265808
0,407	-0,007304688	-0,0005397716
0,408	0,04652344	0,001020324
0,409	0,02460937	0,002418306
0,41	-0,05449219	0,003665538
0,411	-0,07882812	0,004782082
0,412	-0,04066406	0,005797341
0,413	0,002890625	0,00678974
0,414	0,01621094	0,007677231
0,415	0,009296875	0,008535889
0,416	0,01085938	0,009401752
0,417	0,02351563	0,01031124
0,418	0,0296875	0,0113024
0,419	0,02476562	0,01241535
0,42	0,023125	0,01373563
0,421	0,02414062	0,01516303
0,422	0,01953125	0,01676445
0,423	0,02242188	0,0185552
0,424	0,03359375	0,0205445
0,425	0,03648437	0,02273752
0,426	0,03632813	0,02513652
0,427	0,04183594	0,02778794
0,428	0,03878906	0,03053903
0,429	0,02046875	0,03341791
0,43	0,006210938	0,03640102
0,431	0,01957031	0,03946224
0,432	0,05671875	0,04257526
0,433	0,07902344	0,04571542
0,434	0,06894531	0,04890962
0,435	0,05054687	0,05198616
0,436	0,0421875	0,05497089
0,437	0,04316406	0,05784371
0,438	0,04507813	0,06058876
0,439	0,04136719	0,06319635
0,44	0,04765625	0,06566472
0,441	0,07296875	0,06805051
0,442	0,07953125	0,07021675
0,443	0,06078125	0,07223099
0,444	0,06375	0,07411411
0,445	0,07742188	0,07588966
0,446	0,06734375	0,07758487
0,447	0,05832031	0,07923179
0,448	0,06164063	0,08091441
0,449	0,065	0,08253252
0,45	0,07257813	0,08417613
0,451	0,075625	0,08588273
0,452	0,07308594	0,08768319
0,453	0,09027344	0,08960208
0,454	0,1352344	0,09165854
0,455	0,1636328	0,09390648
0,456	0,1519531	0,09623928
0,457	0,1614453	0,0987112
0,458	0,2093359	0,1013258
0,459	0,1940234	0,1040749
0,46	0,08367188	0,1069392
0,461	0,02355469	0,1098891
0,462	0,05855469	0,1129179
0,463	0,0721875	0,1158981
0,464	0,07839844	0,1188366
0,465	0,1341016	0,1217032
0,466	0,1530469	0,1244618
0,467	0,099375	0,1270701
0,468	0,06011719	0,1294816
0,469	0,04230469	0,1316711
0,47	0,03152344	0,1335413
0,471	0,07855469	0,1351054
0,472	0,1480469	0,1363562
0,473	0,193125	0,1372863
0,474	0,2208594	0,1378883
0,475	0,1857422	0,1381562
0,476	0,1003125	0,1380997
0,477	0,05757813	0,1377094
0,478	0,07121094	0,1370432
0,479	0,1222266	0,1361472
0,48	0,2194531	0,1350634
0,481	0,31	0,1338279
0,482	0,3147266	0,1324723
0,483	0,2397656	0,1310177
0,484	0,1521094	0,1295341
0,485	0,119375	0,1280771
0,486	0,1266406	0,1266991
0,487	0,08527344	0,1254372
0,488	0,0184375	0,1243105
0,489	0,01292969	0,1233205
0,49	0,06214844	0,122421
0,491	0,1368359	0,1217009
0,492	0,1746875	0,1211369
0,493	0,1248047	0,120723
0,494	0,05359375	0,1204355
0,495	0,02785156	0,12023
0,496	0,05535156	0,1200411
0,497	0,09421875	0,1197325
0,498	0,0946875	0,1193927
0,499	0,08785156	0,1189223
0,5	0,1180859	0,1182706
0,501	0,1558984	0,1173809
0,502	0,1752344	0,1161872
0,503	0,1949219	0,1146139
0,504	0,1993359	0,1125147
0,505	0,171875	0,1100318
0,506	0,1367188	0,1070786
0,507	0,1022656	0,1036415
0,508	0,08097656	0,09971156
0,509	0,08328125	0,09528225
0,51	0,08394531	0,0903488
0,511	0,06441406	0,08484036
0,512	0,04523438	0,07899848
0,513	0,04832031	0,07280465
0,514	0,0578125	0,06631639
0,515	0,05621094	0,05959367
0,516	0,04363281	0,0526962
0,517	0,0378125	0,04568244
0,518	0,04792969	0,03853451
0,519	0,05097656	0,03154585
0,52	0,04410156	0,02470653
0,521	0,03363281	0,01807621
0,522	0,01730469	0,01170755
0,523	0,006132813	0,005644287
0,524	-0,000234375	-8,076729e-005
0,525	-0,002773437	-0,005527343
0,526	-0,002773437	-0,01044807
0,527	-0,01902344	-0,01493647
0,528	-0,04410156	-0,01901229
0,529	-0,05492188	-0,02270024
0,53	-0,05054687	-0,02603084
0,531	-0,0421875	-0,02904287
0,532	-0,03585937	-0,0318647
0,533	-0,01921875	-0,03432486
0,534	-0,01539063	-0,03658927
0,535	-0,04738281	-0,03873562
0,536	-0,06542969	-0,04083055
0,537	-0,05570312	-0,04292986
0,538	-0,0446875	-0,04508127
0,539	-0,03574219	-0,04739655
0,54	-0,04136719	-0,04971582
0,541	-0,05171875	-0,05216972
0,542	-0,04398437	-0,054798
